,mean,range_min,range_max,avg_diff_per_class,areas_km²,percentages,date,type_uh
1.0,1.84,-4.62,2.53,,42.192,4.899051122350875,2020-02-22,uh_wavg
2.0,3.19,2.53,3.66,1.3499999999999999,101.7612,11.815825774359402,2020-02-22,uh_wavg
3.0,4.14,3.67,4.55,0.9499999999999997,155.0664,18.0052668979643,2020-02-22,uh_wavg
4.0,4.96,4.55,5.35,0.8200000000000003,202.3632,23.49705304518664,2020-02-22,uh_wavg
5.0,5.75,5.35,6.23,0.79,189.6174,22.01709651799523,2020-02-22,uh_wavg
6.0,6.73,6.23,7.5,0.9800000000000004,119.709,13.899803536345775,2020-02-22,uh_wavg
7.0,8.3,7.5,10.09,1.5700000000000003,45.3168,5.2618818710028,2020-02-22,uh_wavg
8.0,11.77,10.09,22.42,3.469999999999999,5.202,0.6040212347949672,2020-02-22,uh_wavg
1.0,1.21,-6.33,2.37,,42.7671,5.370003514533331,2020-05-19,uh_wavg
2.0,3.72,2.37,4.66,2.5100000000000002,93.0663,11.685766818059053,2020-05-19,uh_wavg
3.0,5.61,4.66,6.46,1.8900000000000001,137.6478,17.283593457769662,2020-05-19,uh_wavg
4.0,7.37,6.46,8.3,1.7599999999999998,155.96189999999999,19.58318312752784,2020-05-19,uh_wavg
5.0,9.21,8.3,10.13,1.8400000000000007,150.54569999999998,18.903103977073037,2020-05-19,uh_wavg
6.0,10.96,10.13,11.94,1.75,128.7162,16.162107002283882,2020-05-19,uh_wavg
7.0,12.98,11.94,14.77,2.0199999999999996,69.5808,8.7368360385446,2020-05-19,uh_wavg
8.0,16.51,14.77,30.64,3.530000000000001,18.1215,2.275406064208603,2020-05-19,uh_wavg
1.0,1.58,-3.91,2.95,,36.9675,4.291731142765495,2020-05-28,uh_wavg
2.0,4.6,2.95,5.78,3.0199999999999996,73.6542,8.550862891336399,2020-05-28,uh_wavg
3.0,7.09,5.78,8.22,2.49,142.4799,16.541162481858752,2020-05-28,uh_wavg
4.0,9.4,8.22,10.54,2.3100000000000005,163.4949,18.980892784562933,2020-05-28,uh_wavg
5.0,11.67,10.54,12.79,2.2699999999999996,181.2789,21.045521083553712,2020-05-28,uh_wavg
6.0,13.84,12.79,15.05,2.17,158.9121,18.448853953669158,2020-05-28,uh_wavg
